,Antecedentes,Edad,Expect.,Pension,Salario Base,Semanas Cotizadas,Sexo
44,No,66.0,65.18523646932012,3111239.6593377953,2038170.1790488025,2016.0,F
45,Si,79.0,70.45486813671103,2065300.30734792,1510404.9087540822,1769.0,F
46,No,30.0,63.400499865565294,572312.1692286808,1355333.1492747418,468.0,M
47,No,41.0,55.43041854375351,352383.064787077,2534697.7395712184,46.0,M
48,No,48.0,62.6138444162717,1440884.7702597855,2967466.0845391643,480.0,M
49,Si,73.0,66.78659519313845,214714.96118073497,3387865.213985981,55.0,F
50,No,76.0,66.5674459460977,5608753.281867498,3749373.0203504306,1914.0,F
51,Si,51.0,64.80035721776571,894501.0465912767,1159752.951335949,924.0,M
52,No,20.0,57.808749837113304,755886.1250678552,4265634.737734156,44.0,F
53,No,25.0,61.495198438285996,413779.1572730954,3203720.9487102036,42.0,F
54,No,56.0,61.49466549824545,2034650.4576901284,1713996.9472015267,1482.0,F
55,Si,41.0,61.090925435543014,1079978.616117669,2234064.2597924722,598.0,M
56,Si,56.0,64.18128125811214,1632036.1128494218,2875752.4315327667,722.0,M
57,No,27.0,50.28586163965737,207000.00170834622,1524795.4690637633,135.0,M
58,No,93.0,71.17582727545373,5330089.420847593,3242061.6475133593,2100.0,M
59,Si,90.0,72.94044238547144,5675359.888195689,2537781.691129901,2952.0,M
60,Si,31.0,56.84191325030258,645496.9455627496,1511122.4439871106,455.0,F
61,No,64.0,64.7747390720549,927232.9906839388,1658972.7399064596,736.0,F
62,No,42.0,55.93582139073149,401162.2270782136,2201557.9992750473,72.0,F
63,Si,30.0,59.45217710845739,1245447.7970609763,2635794.728676036,564.0,F
64,Si,78.0,69.71986434732183,2035246.9105028561,3432665.6120128795,720.0,F
65,Si,91.0,74.9607707436387,8243291.059338227,3813696.0314322202,2993.0,M
66,Si,86.0,71.04969948117957,364905.27631454304,1142387.794502998,272.0,M
67,Si,59.0,63.28457250445369,1380904.8979280984,1664793.5370984473,984.0,F
68,Si,59.0,64.40715966592646,1150034.789253404,2770297.3578440435,410.0,F
69,Si,80.0,70.21368160458103,1664774.12738002,1386395.8479777663,1488.0,M
70,Si,48.0,59.51231822333892,1375842.5358955916,3839453.7631440065,300.0,F
71,Si,94.0,65.70422738402425,8216056.939076014,4100523.146087845,2736.0,M
72,No,59.0,64.363293152328,1332237.8112273281,1201688.3824725524,1517.0,F
73,Si,56.0,63.90028842010105,844514.8626505055,3217178.4376032357,228.0,M
74,Si,40.0,57.56595492936555,1403312.3409000316,2032767.2656441815,924.0,F
75,Si,39.0,62.464131570923485,1408561.4522699243,3925933.678452883,483.0,M
76,No,84.0,68.69702011087114,2102910.661888859,2221537.1120415474,1254.0,F
77,Si,46.0,58.87061093507314,700577.5978968852,1066931.985938877,784.0,F
78,Si,27.0,50.84980155342678,369695.67677387176,2541166.809618946,162.0,M
79,No,64.0,64.8841842987937,558406.7749210614,3006591.899790843,92.0,M
80,Si,36.0,55.23842803398004,1671228.4918074457,3009811.0521394224,774.0,M
81,No,47.0,63.839039768027746,2261018.0951241646,3823899.7290611034,696.0,F
82,Si,93.0,72.01680436428991,2927357.154853528,2118842.2524032956,1875.0,M
83,Si,21.0,61.93013448839503,118670.26062240468,3883059.579948803,3.0,F
84,No,22.0,57.19221902376645,378073.09823280683,1960019.077830278,192.0,M
85,Si,29.0,55.099498635422194,404288.5354132113,2410948.897563384,209.0,M
86,Si,55.0,61.709295187309515,2232077.276585412,3130398.3240751997,888.0,M
87,Si,86.0,72.57876283871079,5805725.136434203,3951221.9365304084,2040.0,F
88,No,88.0,68.23239673195968,4313496.32955149,3494393.371490754,1680.0,M
89,Si,56.0,64.96069661429978,2172265.180393577,1899025.3697602917,1558.0,M
90,Si,45.0,59.636827075667036,1241690.746678587,3969101.129603081,378.0,M
91,No,91.0,65.95177790725253,3320449.708271444,1366231.9481807495,3285.0,F
92,No,27.0,64.62744267278478,1045657.4991865576,3678878.788488631,351.0,M
93,No,97.0,68.01020150709334,3006742.878502597,1461006.799220107,2765.0,F
94,No,97.0,72.18589494632306,1245476.6959598656,3560917.5201581833,474.0,F
95,Si,43.0,61.940547514425134,1584848.7194821814,2931768.71925347,650.0,M
96,Si,91.0,69.38399364113468,1170370.344384371,1238354.8225996704,1314.0,M
97,No,37.0,55.33795001388245,1363475.5623943016,2306469.934590728,798.0,M
98,Si,39.0,64.780923987016,688188.1127736215,1427732.6828666246,483.0,F
99,No,87.0,67.39963065477636,5986704.519238839,3425927.1408439865,2346.0,F
100,Si,45.0,59.233944985328016,1859913.5909607299,2675754.8278558264,972.0,F
101,Si,72.0,65.90417279592764,4182140.4628580706,2265131.23294166,2376.0,F
102,No,70.0,66.36250100842898,1747536.1432945558,2646045.2341208556,780.0,F
103,Si,72.0,66.30695813933418,4345233.037865445,3280728.678845419,1836.0,M
104,No,19.0,58.01908509923028,232318.63819800326,2034315.3476888952,12.0,M
105,No,48.0,62.842806655823935,1651548.2912891884,3574737.491929379,570.0,F
106,Si,57.0,63.68610755293704,24134.55005615508,3181493.8996660146,0.0,F
107,No,28.0,55.6961214094338,314072.5387790069,2282738.9842456747,130.0,F
108,No,38.0,62.48275317625946,1877642.808781078,2287711.967856806,960.0,F
109,No,92.0,72.37800804574525,1150280.326126858,4074054.9438317935,370.0,F
110,No,67.0,65.79791436519876,2957045.547948613,2475941.8471638532,1519.0,M
111,No,98.0,67.00672509051574,10073001.11750766,4162186.695404921,3280.0,M
112,Si,95.0,76.75573518814231,1770482.9268510481,3942144.5238752114,616.0,M
113,Si,85.0,65.7422736972681,1730110.239861137,1815050.2556875004,1139.0,M
114,No,51.0,62.50651302597987,1358313.0270110988,1588764.5215335644,1089.0,M
115,Si,75.0,68.27208020987496,1311527.506664555,2888054.9574933276,627.0,M
116,No,93.0,70.78185838366736,9078961.392698735,3898672.053229043,3225.0,M
117,No,77.0,68.89166975878008,285765.2451261065,899315.1447010414,295.0,F
118,No,33.0,60.9346689204768,1862051.652247316,3411931.397946286,585.0,M
119,No,77.0,65.86580207332072,1250491.4378978387,2809914.1041754577,590.0,F
120,No,31.0,54.81447159731712,301500.4902158278,892727.5201102202,429.0,F
121,Si,36.0,55.42580963593669,1142397.054245021,3114377.0073616165,504.0,M
122,No,52.0,60.05336242459377,745048.7954865142,2055620.3086382882,442.0,M
123,Si,26.0,59.54801085309109,83030.60127414807,1369179.176986788,40.0,F
124,Si,42.0,64.49699878454105,1734622.8079757271,2790315.680460178,792.0,M
125,Si,53.0,61.31738835312777,1186627.2213911226,1385551.138629343,1085.0,M
126,Si,20.0,58.34797589341725,157901.98926113697,1243436.919550529,74.0,F
127,No,48.0,60.12513482402393,4309695.326890085,4206269.93888675,1320.0,F
128,Si,67.0,65.44528853487826,291944.2456330207,1153198.770256522,196.0,F
129,No,27.0,64.92012873565015,1221810.1943903419,4069740.7404886773,234.0,M
130,Si,51.0,61.43718815915674,2085279.1083431381,4095285.231927531,561.0,M
131,No,32.0,62.85451328049906,611574.5103606461,1627425.9969970202,476.0,M
132,No,90.0,73.77545776404816,6696847.3783073025,3208989.9323071158,2880.0,M
133,No,79.0,66.87466253185336,4738020.421793809,3349915.595038842,1952.0,M
134,Si,80.0,66.44787212354602,471982.80453561275,1230244.7978973822,496.0,M
135,No,82.0,65.23897208265369,4561008.755926283,3210850.415801326,1984.0,F
136,Si,51.0,59.88151784441311,1307865.412406167,1124024.113975531,1617.0,M
137,No,55.0,62.2308384152707,1156378.1507001861,913555.8226071419,1628.0,F
138,Si,87.0,66.6207418008289,5081947.720952566,3431957.218015063,2070.0,F
139,No,90.0,72.15206611568208,7835703.317855781,3296119.4987124912,3312.0,M
140,Si,63.0,64.75760998038493,3612450.718533278,3712738.647320086,1170.0,F
141,No,57.0,64.66066369309422,4951271.729397708,3967077.437551198,1599.0,F
142,Si,69.0,65.77440890058189,890828.7568973292,2969995.4377437932,255.0,M
143,Si,36.0,63.55099741915706,1012655.0105200622,3067419.270988104,306.0,F
144,Si,68.0,65.85163533160916,1794039.6694530703,1517290.1649284307,1600.0,F
145,Si,81.0,67.20080317693547,1788571.4506670563,1081331.6894976601,2142.0,F
146,No,53.0,62.32521115463834,487403.62001116166,4131794.511455986,140.0,F
147,No,70.0,66.26175831883167,959633.9263833166,1076237.3925719452,1040.0,F
148,No,27.0,52.92550915976923,386786.87572523253,1519882.295379308,225.0,M
149,No,53.0,62.44230777066704,1751872.8410790076,2050277.0128377122,1085.0,M
150,Si,40.0,56.414252330134204,882792.0546958556,2723193.063216052,286.0,M
151,No,91.0,72.65474530711317,742772.6407056525,815629.7187700515,1241.0,M
152,Si,32.0,63.930286605051464,805526.7700019927,1678243.097342991,658.0,F
153,Si,71.0,65.42794847159186,4019586.6618331335,2813961.3644004436,1908.0,M
154,No,32.0,57.29788241463095,2050611.0494157514,3770216.8985331687,574.0,F
155,Si,84.0,66.75555606394335,1799491.8695137408,1142171.533805748,2178.0,M
156,Si,47.0,59.60576098094826,1022956.0768263537,1018019.3646857392,1276.0,F
157,Si,62.0,64.12214356821586,724242.5023556611,2602434.8736610897,220.0,M
158,No,52.0,64.37066859620914,425526.56469223415,2116969.4720351314,170.0,M
159,No,90.0,69.93514211132228,1832097.249527709,1175393.9454807001,2016.0,M
160,No,87.0,70.77674583853062,958188.5150338612,3068663.8243107726,276.0,F
161,Si,76.0,68.23716331270002,2400863.8111959314,3006908.216520999,928.0,F
162,Si,82.0,71.75675850837334,5204076.400251908,4264838.935431691,1536.0,F
163,No,39.0,60.99294543464967,140055.41269812197,4190998.2331904997,21.0,M
164,Si,63.0,64.44363621254028,5341153.093012719,3188269.822234779,2205.0,M
165,No,85.0,70.55701310911869,546507.1960228172,3400079.8467338635,134.0,M
166,No,53.0,62.09847714068616,769145.8117220702,1094168.3270357237,805.0,F
167,Si,75.0,66.42541735852367,3068377.6249192995,2482252.4900812116,1653.0,M
168,Si,82.0,71.53284681148992,7150652.522684186,3654211.9264631164,2688.0,M
169,Si,21.0,50.95745644751983,441061.6769859038,2990351.1134309694,27.0,M
170,Si,85.0,66.37747217512737,1239237.6440899302,3206990.831803185,402.0,F
171,No,77.0,66.89340452036086,6327929.68678234,3308261.7201691736,2596.0,F
172,No,19.0,54.34671376579437,121244.66399278847,3766277.1864042254,31.0,F
173,Si,88.0,67.93659343109441,8568963.05827108,3843611.1172023523,3080.0,M
174,No,71.0,65.42642867325652,714563.597247401,2068354.0399510523,424.0,M
175,Si,35.0,54.465990510632636,1648214.9858918549,2889908.498831616,612.0,M
176,No,25.0,52.67872838745804,617645.2382097795,3213489.4037063206,126.0,M
177,No,94.0,76.426208583687,7965933.962389907,3082578.9602045952,3496.0,M
178,No,70.0,66.53834103973611,2085725.177674823,1380550.3729714414,1924.0,F
179,No,41.0,63.85639472070302,1497062.0539384661,3955036.9313741312,322.0,F
180,Si,86.0,68.78871819891336,6752909.744520087,2863526.1644877903,3128.0,F
181,Si,61.0,64.20359356072652,1852497.6313245755,1777884.666839014,1419.0,M
182,Si,53.0,64.79403608427323,260465.66091475319,3367224.393095012,35.0,M
183,Si,62.0,64.34314811681958,2957501.8803134714,3135267.054237555,1188.0,M
184,Si,73.0,66.59774254160214,1456190.4347027799,3327809.3583291117,440.0,F
185,Si,64.0,64.86796378982253,428236.8262925318,4187213.373795232,138.0,M
186,No,93.0,70.18092910168157,3793667.121440881,3405673.292348327,1350.0,M
187,Si,37.0,54.297611759945866,1594742.549908638,2154101.4596440187,855.0,F
188,Si,55.0,63.665947619974524,905224.4924528338,1707447.1961496864,740.0,M
189,Si,73.0,67.56186300189601,1964008.2272612557,1506149.2131483192,1760.0,F
190,No,51.0,62.39595453111089,377668.88075592264,1596127.8655051002,132.0,M
191,No,67.0,65.04010522794349,292563.24435176677,4062386.7453332916,49.0,F
192,Si,44.0,61.10541894531258,535848.3683339308,3478396.639776254,156.0,M
193,Si,35.0,54.14276890343253,2821837.609447236,4180401.3930080608,748.0,M
194,Si,84.0,70.52026124192369,2208214.6364771836,1190293.8612525137,2442.0,F
195,Si,81.0,66.33264837249918,6982209.687727744,4280966.755305519,2205.0,F
196,No,56.0,64.67016543534892,3462198.234538489,4284647.292491591,988.0,M
197,Si,68.0,66.17866340140601,6274533.943947885,3993063.9339397205,2000.0,M
198,Si,61.0,63.57346200990956,2190176.6628344553,1937678.05516349,1505.0,M
199,Si,22.0,58.66492142749663,114486.20223307068,2269236.5537949353,24.0,F
200,No,41.0,64.88497131959133,2002714.410612705,2871491.1727902717,851.0,F
201,No,40.0,63.12062278606281,497996.10060408554,973578.1753868986,572.0,F
202,No,53.0,60.80165649145205,4664300.4466742,3801566.166474495,1645.0,F
203,Si,65.0,65.0,749610.7202708828,1928784.7683851193,423.0,F
204,No,31.0,61.90562696574041,1255491.582130835,2727976.2260897025,520.0,M
205,Si,56.0,62.56360163715271,1651053.738166964,2753274.0995511822,836.0,F
206,No,72.0,66.19983340016789,254970.06051638626,2196807.660567404,0.0,M
207,Si,49.0,59.66247573749713,506946.36842376814,1759161.4002273302,341.0,M
208,No,69.0,66.0363625567576,1100136.751223542,3333078.0506129614,408.0,F
209,No,88.0,71.64117399911834,4931941.518359405,2872772.224919418,2310.0,M
210,Si,25.0,59.21819591240704,996363.2369305869,4257716.763391339,133.0,M
211,Si,61.0,64.5736113389692,851170.3125154406,2071811.3816983595,430.0,M
212,Si,93.0,71.21525611785492,4288670.635074299,1901232.394150242,3000.0,M
213,No,40.0,63.92145799780466,1630453.93841398,2317251.990501735,836.0,M
214,No,77.0,65.90848468904157,3038060.1278987424,3353408.3006002163,1121.0,M
215,Si,64.0,64.79364821148835,3243681.2889972464,2764109.2941378374,1610.0,F
216,Si,61.0,64.8873983837005,1528771.0050789649,1517436.2452965467,1247.0,F
217,Si,55.0,62.07323754431375,1623639.1515877382,2028793.2991470783,1036.0,M
218,No,31.0,57.56518274479883,473044.683572288,2406213.774511449,208.0,F
219,Si,51.0,63.963557535766284,3130462.5480600637,2990274.4315332677,1320.0,F
220,Si,83.0,65.66055599744962,7177437.815870239,3705391.444380495,2535.0,M
221,Si,87.0,66.65234290470397,779454.4076018614,1501416.6115543833,552.0,F
222,No,44.0,61.981141272158894,458680.3278679351,2900628.159358309,104.0,M
223,Si,90.0,68.29582678373984,6356185.728751798,3552920.291658481,2376.0,F
224,No,56.0,64.4959747292263,2351403.8388900724,3181108.8623464545,874.0,F
225,Si,76.0,68.77196609071515,5083561.690417993,2966873.5771908667,2204.0,M
226,No,38.0,56.16805423687326,1927776.0258161582,3724333.8149828697,540.0,F
227,Si,73.0,67.72904182556861,7594345.362308736,4027620.7870766814,2530.0,F
228,Si,75.0,68.8332821878748,4273790.003625641,2170238.0734282406,2679.0,M
229,No,92.0,67.02102532854009,2927438.078149245,4174083.9879451743,814.0,M
230,No,70.0,65.65461752265888,2644505.019564858,2702667.4751772694,1352.0,F
231,No,92.0,65.82172229126503,4971044.720072683,3754728.032583392,1776.0,M
232,No,73.0,65.77608711697216,2122047.921845496,2911581.0888331174,990.0,F
233,No,18.0,47.16750066109005,21972.196294930298,2011084.8723968547,0.0,M
234,No,40.0,62.644604326023085,921222.5772729616,3069344.8271992477,396.0,M
235,Si,91.0,70.73086330764318,1761011.1938172386,2968484.876985542,657.0,M
236,Si,51.0,61.712716271860344,496087.53274858225,2783926.3762376844,99.0,F
237,Si,85.0,71.79703596457935,3877466.873275635,2420841.853798897,2077.0,M
238,No,45.0,57.27870538902641,939703.7826778092,1754320.0013798848,675.0,M
239,No,69.0,65.30006147712508,664311.9205512166,1220911.163928656,714.0,M
240,Si,35.0,53.80059335805714,1688450.1012086896,3437803.589088883,663.0,F
241,Si,33.0,64.68477643127054,932493.9561151335,2562614.8705676254,420.0,M
242,No,21.0,50.8134314648524,388247.2352331526,1980467.236585079,147.0,F
243,No,40.0,63.945289916072724,1872754.3113162825,2802088.9921856676,814.0,M
244,No,38.0,58.416974129011905,1704973.1164654817,3297363.024096947,520.0,F
245,No,62.0,64.53108251366899,4189081.1480747773,3236781.5189424804,1672.0,F
246,Si,39.0,64.84256954917441,2304350.30706851,3270434.0576590667,903.0,F
247,Si,23.0,49.00772918636744,714620.4911763279,4093077.931759379,215.0,M
248,Si,76.0,66.23926892323225,1222719.8423894725,3246065.3684663777,406.0,M
249,Si,57.0,62.486773527483344,3290346.9416752993,3212204.838972459,1365.0,M
250,No,26.0,56.13513316031472,279338.5399297348,814412.0986606969,328.0,F
251,Si,95.0,69.22296021982682,4950524.6138339685,2239067.401579367,3080.0,M
252,Si,85.0,71.14209407274657,3735510.1812815242,4266665.549901422,1072.0,F
253,No,39.0,64.58443975411153,1259603.346469936,3851687.7774218796,378.0,M
254,Si,33.0,63.443830605526166,881315.0407124601,3274915.6828690567,210.0,F
255,No,77.0,65.99543987775627,584128.5596598422,3201776.1823696527,59.0,M
256,Si,50.0,63.43599436536434,1094343.7279868294,3381518.122882467,320.0,M
257,Si,89.0,69.90092446694453,2469953.676553279,1190630.8852652367,2840.0,M
258,Si,33.0,54.830534777753186,622705.9898322944,2854108.2646386456,150.0,M
259,Si,57.0,62.95818416899063,236560.4916504114,1910212.1213699079,156.0,F
260,No,71.0,65.47015290317799,5499492.76842196,3266277.2285420224,2332.0,M
261,No,39.0,57.206467764704385,553451.2296746488,975771.1541379618,735.0,F
262,Si,48.0,60.28292837927282,1298320.3437112193,3544688.5800824175,450.0,M
263,Si,75.0,65.70670886531407,1689702.38818893,3087795.2662675986,627.0,M
264,Si,89.0,74.42210385753934,2025539.1732959936,3462000.147146305,639.0,M
265,No,68.0,65.29836126921128,3116143.889094055,4113085.5445053745,1000.0,F
266,No,75.0,65.22137357814043,4727018.801424344,3178726.464243269,1881.0,F
267,No,88.0,65.25756129343326,6171149.593609612,3424189.656621342,2520.0,M
268,Si,34.0,58.64705477474803,100354.56952947091,3308893.9873393,32.0,M
269,No,44.0,64.68581767365635,517914.56236488983,982817.5546482655,598.0,M
270,Si,85.0,65.73796932851924,2021038.3070452728,2933153.19946631,804.0,F
271,No,74.0,65.09185128953433,2043590.8924693656,2159589.3525023838,1176.0,F
272,Si,82.0,70.45939465670372,1568181.0939002098,3410170.7838319023,640.0,F
273,No,86.0,68.34825554208184,2199558.961554985,1876976.0485099056,1632.0,M
274,Si,27.0,57.6096121877374,494860.4542000051,4283394.236782473,0.0,M
275,No,54.0,64.50825549752062,277476.8440223129,2545036.919626008,72.0,F
276,Si,63.0,64.7518463592416,344162.59782731783,3405268.52790581,135.0,F
277,Si,85.0,67.98938682860005,4195688.4077268625,2152585.4343707184,2680.0,M
278,Si,83.0,66.49863964412603,3122782.168582812,3828914.277247564,1105.0,M
279,No,64.0,64.66280976810376,1792769.1682827866,2825622.8813903667,782.0,M
280,Si,82.0,70.76171855716981,1705315.5462857387,4114228.5352540296,448.0,M
281,Si,58.0,63.162276907152815,1993965.4230204395,2119832.0642318483,1120.0,M
282,Si,91.0,72.34812891991461,1924801.2971043854,938213.056959121,2774.0,F
283,No,90.0,67.32908615231102,3476104.140158474,3893879.003628688,1080.0,F
284,No,58.0,63.65347375783146,1184110.1562033205,1009647.8286918723,1520.0,M
285,No,79.0,68.2315069502327,5458549.314612841,4150401.0079474645,1647.0,F
286,Si,29.0,62.420768422047935,1018692.6688420598,4275888.534630963,286.0,F
287,Si,63.0,64.80009997132896,1962581.7062347468,1560072.7416390234,1710.0,M
288,No,95.0,70.27243239713856,689785.6072724406,3372162.915506488,231.0,M
289,No,43.0,61.08472042396252,234702.40152140637,4291523.4220681675,50.0,F
290,Si,73.0,67.70164080798838,4665788.520494136,3169140.87133999,2035.0,F
291,Si,25.0,51.074007048896945,272190.3314510635,2312696.685249532,0.0,M
292,No,79.0,69.86486471434867,4289433.455335374,3591857.7383534256,1464.0,F
293,Si,23.0,55.627923551447296,359851.49943528,1702608.7515949085,125.0,F
294,No,54.0,61.98505093029827,4784054.703042607,3720167.578693241,1692.0,F
295,Si,94.0,73.827182918921,1848782.7711024075,2350796.489977436,912.0,F
296,Si,97.0,66.99755295125526,2754711.079415716,2955885.47460624,1264.0,F
297,Si,83.0,69.37720746714196,3837308.6875565764,2560427.9760964876,2015.0,M
298,No,21.0,52.33379351338623,46437.1844284378,1456947.8730318155,30.0,M
299,No,47.0,60.259239330582076,1061999.6093991846,1891787.9070980998,783.0,M
300,Si,93.0,75.34782376909313,1472123.2554558285,1193250.1602364678,1650.0,M
301,Si,59.0,63.74993838943906,2426385.116455306,2572465.704055939,1271.0,F
302,No,96.0,70.98724380022529,10092805.10988347,4286996.61923226,3276.0,F
303,No,93.0,73.10994044900062,2804341.6970513114,1649043.2732619024,2175.0,F
304,No,37.0,64.16121469362224,1044058.0645503389,3565102.1301341983,399.0,F
305,Si,67.0,65.59977724480822,258984.5508858069,1018141.4215386391,294.0,F
306,No,91.0,73.70490336278107,225293.29001305188,3335540.619778529,73.0,F
307,Si,44.0,56.855724288731096,2294938.622416119,2471682.7139266813,1196.0,M
308,No,76.0,67.16091613309098,3675960.2434826987,1888621.538690491,2668.0,M
309,Si,80.0,70.34391870206284,626449.5300235649,1683579.760366377,434.0,F
310,Si,35.0,58.75074007504324,1186547.2011735986,3714124.4309151606,442.0,M
311,Si,21.0,51.300813655496704,351178.76351899636,3908280.3239213238,72.0,F
312,No,52.0,62.39488209356506,174279.40260090557,941340.1546090856,238.0,F
313,No,26.0,50.2339337347581,682074.3853816863,4079702.9273290616,208.0,M
314,Si,52.0,64.5797682887613,451161.8821613161,2307095.2253241884,272.0,M
315,No,55.0,61.34381694032919,516902.42700971203,2530056.214166386,148.0,M
316,Si,32.0,62.204238539680304,1449216.715785956,2492502.8213383607,672.0,F
317,No,26.0,55.69335255189547,714609.431014745,3156584.0940185916,120.0,F
318,No,51.0,60.65461397738348,1640816.7217488235,3903802.511107454,561.0,F
319,Si,73.0,66.49591840249637,3102180.7052599275,1885631.1476427673,2145.0,F
320,Si,97.0,77.1750916524956,4080142.800058508,2278508.7782316576,2370.0,M
321,Si,44.0,58.612414611109145,2097275.277804574,3871719.5794158657,754.0,F
322,No,96.0,76.80208449732906,1386501.5771716353,2044631.1184132104,858.0,M
323,Si,33.0,56.08465489247927,655770.9344494477,1569447.1814699299,375.0,M
324,Si,50.0,60.435851820596945,4612397.134711323,4222685.231623224,1504.0,M
325,No,25.0,60.17296304199624,524634.1590324878,2143941.1189326495,224.0,F
326,No,26.0,53.62258517413543,270288.2415903079,1016160.4127614956,224.0,F
327,No,79.0,70.22184741573426,2386434.451539547,2876869.8537427117,976.0,F
328,Si,84.0,67.78990395109366,2358698.3547445526,1058176.5609193482,2970.0,F
329,No,67.0,65.3872750012223,3872601.881010404,2463973.0492694285,2009.0,M
330,Si,48.0,61.009011084819804,3187469.090383954,3441263.0822638236,1140.0,F
331,Si,37.0,58.32148319588781,369019.28006021475,1218675.2454559354,342.0,M
332,Si,19.0,61.90191825384731,107592.38418132014,964438.040869104,16.0,M
333,Si,52.0,62.926621747617574,414519.932551926,1163713.6201712545,442.0,M
334,No,45.0,62.137030009045674,814220.5578742112,1864825.7691604588,513.0,M
335,Si,79.0,70.0451127424982,3890223.0163574936,2292511.0607875707,2318.0,M
336,Si,53.0,60.73110789793815,741497.1747935939,3403990.959465928,210.0,M
337,No,54.0,62.57608168293467,389848.126018899,1052895.9362202224,468.0,F
338,Si,75.0,68.08471831231634,7055260.670880802,3937856.175394593,2508.0,M
339,Si,55.0,61.096409489995,940133.5533419941,3812597.392540407,296.0,M
340,Si,35.0,60.366528707071865,2561083.9947215277,3779103.5394345126,782.0,F
341,No,63.0,64.69950442668049,6359103.448805943,3938786.4351461423,2160.0,M
342,Si,46.0,62.884575177824296,787715.2133652945,3432274.9236457916,252.0,F
343,Si,36.0,59.40425876581162,498408.76941158297,1766292.486964947,198.0,M
344,Si,92.0,65.09565157225522,208183.28810566495,2416121.7856569393,74.0,M
345,No,31.0,58.867619795112674,721161.4473440505,1317145.4359799668,624.0,F
346,No,44.0,61.40270796263427,366402.97385376145,2079641.0512067617,52.0,M
347,No,24.0,52.98756660575151,161534.18307172687,1514700.1134080342,18.0,M
348,No,41.0,57.59271066210572,2141996.151587754,3241371.905462901,759.0,F
349,Si,53.0,61.60198545918637,439144.8925896784,2955669.084370421,140.0,M
